Date,Open,High,Low,Close,Adj Close,Volume
2024-03-14,135.873901,136.272949,132.186752,133.080612,133.080612,9460777
2024-03-15,132.202713,136.073425,131.596176,134.788513,134.788513,13263757
2024-03-18,134.844376,136.272949,134.541107,135.602554,135.602554,6228788
2024-03-19,135.522751,138.810852,134.876297,138.435760,138.435760,9360787
2024-03-20,137.757385,139.489227,137.278534,138.810852,138.810852,7229434
2024-03-21,139.361526,141.300873,138.140457,140.973663,140.973663,7890893
2024-03-22,140.702316,141.660019,139.728653,139.784515,139.784515,6842132
2024-03-25,139.393463,140.071823,137.901031,138.459702,138.459702,6288181
2024-03-26,138.459702,139.704712,137.589783,138.507584,138.507584,5056983
2024-03-27,139.680771,143.942535,139.409424,143.750992,143.750992,12606433
2024-03-28,143.615326,143.631287,139.130081,140.087784,140.087784,12122274
2024-04-01,140.143661,140.486832,138.116516,139.952118,139.952118,7399592
2024-04-02,140.529999,144.509995,133.990005,136.470001,136.470001,20490400
2024-04-03,138.149994,147.940002,138.009995,145.619995,145.619995,16208500
2024-04-04,146.649994,151.990005,146.210007,147.389999,147.389999,11880200
2024-04-05,148.529999,156.470001,148.529999,156.300003,156.300003,14768500
2024-04-08,157.470001,157.949997,153.699997,156.520004,156.520004,9588800
2024-04-09,156.130005,157.869995,150.929993,154.490005,154.490005,8808800
2024-04-10,151.889999,157.789993,151.649994,156.610001,156.610001,8075400
2024-04-11,157.070007,158.440002,154.750000,157.679993,157.679993,6059900
